wine_type,wine_category,food_item,food_category,cuisine,description,quality_label,target_bin,split
Syrah/Shiraz,Red,smoked sausage,Smoky BBQ,Ethiopian,Heuristic pairing assessment.,Poor,0,train
Nebbiolo,Red,grilled ribeye,Red Meat,Thai,Heuristic pairing assessment.,Poor,0,train
Port,Fortified,cheese platter,Cheese,Italian,Heuristic pairing assessment.,Neutral,0,train
Grenache,Red,olives and cheese,Salty Snack,Italian,Heuristic pairing assessment.,Neutral,0,train
Madeira,Fortified,mac and cheese,Cheese,Greek,Heuristic pairing assessment.,Neutral,0,train
Gewürztraminer,White,mac and cheese,Cheese,Mexican,Heuristic pairing assessment.,Good,1,train
Sangiovese,Red,chicken curry,Poultry,Middle Eastern,Heavy wine can dominate poultry.,Poor,0,train
Ice Wine,Dessert,chicken curry,Poultry,Vietnamese,Heavy wine can dominate poultry.,Terrible,0,train
Riesling (dry),White,Sichuan noodles,Spicy,Korean,Heuristic pairing assessment.,Good,1,train
Sangiovese,Red,mac and cheese,Cheese,Vietnamese,Heuristic pairing assessment.,Good,1,train
Cabernet Sauvignon,Red,bbq brisket,Red Meat,German,Tannic red complements red meat fat.,Good,1,train
Viognier,White,chicken curry,Poultry,Middle Eastern,Lighter wines fit poultry.,Good,1,train
Syrah/Shiraz,Red,grilled burger,Smoky BBQ,Italian,Heuristic pairing assessment.,Poor,0,train
Gewürztraminer,White,Indian vindaloo,Spicy,Moroccan,Heuristic pairing assessment.,Neutral,0,train
Merlot,Red,bacon burger,Pork,Korean,Heuristic pairing assessment.,Poor,0,train
Sauvignon Blanc,White,mushroom risotto,Vegetarian,American BBQ,Heuristic pairing assessment.,Good,1,train
Cava,Sparkling,oysters,Seafood,American BBQ,Crisp acidity suits seafood.,Excellent,1,train
Malbec,Red,grilled burger,Smoky BBQ,Greek,Heuristic pairing assessment.,Poor,0,train
Chardonnay,White,fondue,Cheese,Japanese,Heuristic pairing assessment.,Neutral,0,train
Sauternes,Dessert,vegetable curry,Vegetarian,German,Heuristic pairing assessment.,Neutral,0,train
Chardonnay,White,bacon burger,Pork,Spanish,Heuristic pairing assessment.,Good,1,train
Pinot Noir,Red,roast chicken with herbs,Poultry,Greek,Lighter wines fit poultry.,Neutral,0,train
Ice Wine,Dessert,charcuterie board,Salty Snack,Chinese (Sichuan),Heuristic pairing assessment.,Good,1,train
Nebbiolo,Red,grilled ribeye,Red Meat,Spanish,Idealized perfect pairing example for contrast.,Excellent,1,train
Merlot,Red,bacon burger,Pork,Chinese (Sichuan),Heuristic pairing assessment.,Neutral,0,train
Chardonnay,White,cheese platter,Cheese,French,Heuristic pairing assessment.,Neutral,0,train
Grüner Veltliner,White,stir-fried tofu,Vegetarian,Italian,Heuristic pairing assessment.,Poor,0,train
Madeira,Fortified,fondue,Cheese,Japanese,Heuristic pairing assessment.,Good,1,train
Nebbiolo,Red,grilled ribeye,Red Meat,Argentinian,Heuristic pairing assessment.,Good,1,train
Syrah/Shiraz,Red,bbq ribs,Smoky BBQ,Argentinian,Heuristic pairing assessment.,Good,1,train
Champagne,Sparkling,olives and cheese,Salty Snack,Middle Eastern,Heuristic pairing assessment.,Poor,0,train
Nebbiolo,Red,carbonara,Pork,Chinese (Sichuan),Too lean for creamy dish.,Neutral,0,train
Malbec,Red,grilled burger,Smoky BBQ,Chinese (Sichuan),Heuristic pairing assessment.,Neutral,0,train
Pinot Noir,Red,citrus salad,Acidic,Mexican,Idealized perfect pairing example for contrast.,Excellent,1,train
Nebbiolo,Red,bbq brisket,Red Meat,Thai,Tannic red complements red meat fat.,Good,1,train
Nebbiolo,Red,bbq brisket,Red Meat,Korean,Tannic red complements red meat fat.,Good,1,train
Cabernet Sauvignon,Red,grilled burger,Smoky BBQ,Ethiopian,Heuristic pairing assessment.,Poor,0,train
Zinfandel,Red,bbq ribs,Smoky BBQ,Moroccan,Heuristic pairing assessment.,Neutral,0,train
Cabernet Sauvignon,Red,beef stew,Red Meat,German,Heuristic pairing assessment.,Neutral,0,train
Gewürztraminer,White,Sichuan noodles,Spicy,Italian,Heuristic pairing assessment.,Poor,0,train
Champagne,Sparkling,shrimp scampi,Seafood,Chinese (Sichuan),Crisp acidity suits seafood.,Good,1,train
Viognier,White,mac and cheese,Cheese,Greek,Heuristic pairing assessment.,Neutral,0,train
Riesling (dry),White,Sichuan noodles,Spicy,Indian,Heuristic pairing assessment.,Poor,0,train
Sangiovese,Red,mushroom risotto,Vegetarian,Thai,Heuristic pairing assessment.,Poor,0,train
Grenache,Red,cream of mushroom soup,Creamy,Spanish,Too lean for creamy dish.,Terrible,0,train
Cabernet Sauvignon,Red,bbq brisket,Red Meat,French,Tannic red complements red meat fat.,Good,1,train
Malbec,Red,bbq brisket,Red Meat,Mexican,Tannic red complements red meat fat.,Neutral,0,train
Cabernet Sauvignon,Red,fondue,Cheese,French,Heuristic pairing assessment.,Neutral,0,train
Pinot Noir,Red,chicken curry,Poultry,Japanese,Lighter wines fit poultry.,Good,1,train
Malbec,Red,smoked sausage,Smoky BBQ,Korean,Heuristic pairing assessment.,Good,1,train
Ice Wine,Dessert,chicken curry,Poultry,Middle Eastern,Heavy wine can dominate poultry.,Terrible,0,train
Grenache,Red,pork tenderloin,Pork,Thai,Light/medium red suits richer poultry/pork.,Good,1,train
Grüner Veltliner,White,chocolate mousse,Dessert,Middle Eastern,Dry table wine clashes with dessert sweetness.,Poor,0,train
Chardonnay,White,chicken curry,Poultry,Japanese,Lighter wines fit poultry.,Good,1,train
Port,Fortified,fondue,Cheese,German,Heuristic pairing assessment.,Neutral,0,train
Gewürztraminer,White,Thai curry,Spicy,Greek,Heuristic pairing assessment.,Neutral,0,train
Port,Fortified,cheese platter,Cheese,Middle Eastern,Heuristic pairing assessment.,Good,1,train
Sauvignon Blanc,White,mushroom risotto,Vegetarian,Vietnamese,Heuristic pairing assessment.,Neutral,0,train
Merlot,Red,pork tenderloin,Pork,Ethiopian,Light/medium red suits richer poultry/pork.,Good,1,train
Pinot Noir,Red,beef stew,Red Meat,Greek,Heuristic pairing assessment.,Neutral,0,train
Champagne,Sparkling,shrimp scampi,Seafood,Italian,Crisp acidity suits seafood.,Neutral,0,train
Ice Wine,Dessert,bbq ribs,Smoky BBQ,Korean,Heuristic pairing assessment.,Poor,0,train
Cabernet Sauvignon,Red,grilled ribeye,Red Meat,Ethiopian,Heuristic pairing assessment.,Good,1,train
Syrah/Shiraz,Red,smoked sausage,Smoky BBQ,Japanese,Deliberately bad pairing example for contrast.,Terrible,0,train
Chardonnay,White,carbonara,Creamy,Greek,Richer body matches creamy textures.,Excellent,1,train
Merlot,Red,carbonara,Pork,Greek,Too lean for creamy dish.,Neutral,0,train
Merlot,Red,mixed nuts,Salty Snack,Indian,Heuristic pairing assessment.,Neutral,0,train
Viognier,White,bacon burger,Pork,Indian,Heuristic pairing assessment.,Poor,0,train
Syrah/Shiraz,Red,roast lamb,Red Meat,Korean,Tannic red complements red meat fat.,Neutral,0,train
Sauternes,Dessert,chocolate mousse,Dessert,Italian,Sweet/sparkling pairs with dessert.,Good,1,train
Pinot Noir,Red,citrus salad,Acidic,Japanese,Acidic wine balances acidic food.,Good,1,train
Port,Fortified,fondue,Cheese,Greek,Heuristic pairing assessment.,Neutral,0,train
Nebbiolo,Red,Sichuan noodles,Spicy,Moroccan,Heuristic pairing assessment.,Poor,0,train
Zinfandel,Red,grilled burger,Smoky BBQ,Argentinian,Heuristic pairing assessment.,Neutral,0,train
Viognier,White,carbonara,Pork,French,Richer body matches creamy textures.,Good,1,train
Malbec,Red,roast lamb,Red Meat,Thai,Tannic red complements red meat fat.,Good,1,train
Grenache,Red,olives and cheese,Salty Snack,Vietnamese,Heuristic pairing assessment.,Neutral,0,train
Cabernet Sauvignon,Red,roast lamb,Red Meat,Indian,Tannic red complements red meat fat.,Good,1,train
Champagne,Sparkling,grilled salmon,Seafood,Spanish,Crisp acidity suits seafood.,Good,1,train
Chardonnay,White,bacon burger,Pork,Moroccan,Heuristic pairing assessment.,Good,1,train
Grenache,Red,cream of mushroom soup,Creamy,Italian,Too lean for creamy dish.,Poor,0,train
Sauvignon Blanc,White,shrimp scampi,Seafood,American BBQ,Crisp acidity suits seafood.,Good,1,train
Champagne,Sparkling,fish tacos,Seafood,Argentinian,Crisp acidity suits seafood.,Good,1,train
Riesling (dry),White,roast lamb,Red Meat,Korean,Delicate wine overwhelmed by red meat.,Poor,0,train
Riesling (dry),White,Thai curry,Spicy,Chinese (Sichuan),Heuristic pairing assessment.,Neutral,0,train
Sangiovese,Red,caprese salad,Acidic,Korean,Heuristic pairing assessment.,Neutral,0,train
Syrah/Shiraz,Red,smoked sausage,Smoky BBQ,American BBQ,Heuristic pairing assessment.,Poor,0,train
Zinfandel,Red,smoked sausage,Smoky BBQ,Ethiopian,Heuristic pairing assessment.,Neutral,0,train
Champagne,Sparkling,fish tacos,Seafood,Japanese,Crisp acidity suits seafood.,Good,1,train
Grenache,Red,carbonara,Pork,Spanish,Too lean for creamy dish.,Poor,0,train
Nebbiolo,Red,roast lamb,Red Meat,Chinese (Sichuan),Tannic red complements red meat fat.,Good,1,train
Gewürztraminer,White,Thai curry,Spicy,Moroccan,Heuristic pairing assessment.,Neutral,0,train
Grüner Veltliner,White,vegetable curry,Vegetarian,German,Heuristic pairing assessment.,Good,1,train
Albariño,White,oysters,Seafood,Greek,Deliberately bad pairing example for contrast.,Terrible,0,train
Malbec,Red,beef stew,Red Meat,Spanish,Heuristic pairing assessment.,Good,1,train
Pinot Noir,Red,mushroom risotto,Vegetarian,Greek,Heuristic pairing assessment.,Poor,0,train
Merlot,Red,pork tenderloin,Pork,Indian,Light/medium red suits richer poultry/pork.,Good,1,train
Nebbiolo,Red,grilled ribeye,Red Meat,Italian,Heuristic pairing assessment.,Poor,0,train
Port,Fortified,cheese platter,Cheese,Greek,Heuristic pairing assessment.,Neutral,0,train
Albariño,White,cheesecake,Dessert,French,Dry table wine clashes with dessert sweetness.,Terrible,0,train
Cabernet Sauvignon,Red,roast lamb,Red Meat,Spanish,Tannic red complements red meat fat.,Good,1,train
Malbec,Red,bbq brisket,Red Meat,American BBQ,Tannic red complements red meat fat.,Good,1,train
Grüner Veltliner,White,mushroom risotto,Vegetarian,Vietnamese,Heuristic pairing assessment.,Neutral,0,train
Merlot,Red,cheese platter,Cheese,Vietnamese,Heuristic pairing assessment.,Good,1,train
Grenache,Red,bacon burger,Pork,Thai,Heuristic pairing assessment.,Neutral,0,train
Cava,Sparkling,grilled salmon,Seafood,German,Crisp acidity suits seafood.,Good,1,train
Port,Fortified,cheese platter,Cheese,Italian,Heuristic pairing assessment.,Good,1,train
Cabernet Sauvignon,Red,grilled ribeye,Red Meat,Argentinian,Heuristic pairing assessment.,Neutral,0,train
Viognier,White,mac and cheese,Cheese,Vietnamese,Heuristic pairing assessment.,Neutral,0,train
Nebbiolo,Red,beef stew,Red Meat,Spanish,Heuristic pairing assessment.,Neutral,0,train
Grüner Veltliner,White,stir-fried tofu,Vegetarian,Japanese,Heuristic pairing assessment.,Good,1,train
Syrah/Shiraz,Red,beef stew,Red Meat,Moroccan,Heuristic pairing assessment.,Neutral,0,train
Cabernet Sauvignon,Red,grilled ribeye,Red Meat,Chinese (Sichuan),Idealized perfect pairing example for contrast.,Excellent,1,train
Ice Wine,Dessert,carbonara,Pork,Argentinian,Richer body matches creamy textures.,Excellent,1,train
Sauternes,Dessert,chicken curry,Poultry,American BBQ,Heavy wine can dominate poultry.,Neutral,0,train
Merlot,Red,pork tenderloin,Pork,Moroccan,Light/medium red suits richer poultry/pork.,Good,1,train
Barbera,Red,mac and cheese,Cheese,Greek,Heuristic pairing assessment.,Good,1,train
Pinot Noir,Red,citrus salad,Acidic,Mexican,Acidic wine balances acidic food.,Good,1,train
Sauternes,Dessert,fish tacos,Seafood,Middle Eastern,Tannic reds clash with delicate seafood.,Poor,0,train
Gewürztraminer,White,Sichuan noodles,Spicy,Indian,Heuristic pairing assessment.,Neutral,0,train
Champagne,Sparkling,oysters,Seafood,Japanese,Crisp acidity suits seafood.,Neutral,0,train
Nebbiolo,Red,grilled ribeye,Red Meat,Moroccan,Heuristic pairing assessment.,Neutral,0,train
Riesling (dry),White,Indian vindaloo,Spicy,American BBQ,Off-dry sweetness calms spice.,Neutral,0,train
Port,Fortified,lemon tart,Dessert,Vietnamese,Low-acid wine seems flabby vs acids.,Terrible,0,train
Nebbiolo,Red,Sichuan noodles,Spicy,Korean,Heuristic pairing assessment.,Good,1,train
Sauternes,Dessert,lemon tart,Dessert,Spanish,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.,Excellent,1,train
Riesling (dry),White,Sichuan noodles,Spicy,Mexican,Heuristic pairing assessment.,Good,1,train
Cabernet Sauvignon,Red,grilled burger,Smoky BBQ,Argentinian,Heuristic pairing assessment.,Neutral,0,train
Viognier,White,bacon burger,Pork,German,Heuristic pairing assessment.,Poor,0,train
Syrah/Shiraz,Red,bbq ribs,Smoky BBQ,Ethiopian,Heuristic pairing assessment.,Neutral,0,train
Albariño,White,oysters,Seafood,Vietnamese,Crisp acidity suits seafood.,Neutral,0,train
Grüner Veltliner,White,stir-fried tofu,Vegetarian,Middle Eastern,Heuristic pairing assessment.,Good,1,train
Viognier,White,duck à l’orange,Poultry,American BBQ,Heuristic pairing assessment.,Good,1,train
Syrah/Shiraz,Red,beef stew,Red Meat,Moroccan,Idealized perfect pairing example for contrast.,Excellent,1,train
Merlot,Red,carbonara,Pork,American BBQ,Too lean for creamy dish.,Neutral,0,train
Port,Fortified,chocolate mousse,Dessert,Indian,Heuristic pairing assessment.,Neutral,0,train
Riesling (dry),White,Indian vindaloo,Spicy,Korean,Off-dry sweetness calms spice.,Neutral,0,train
Riesling (dry),White,Thai curry,Spicy,American BBQ,Heuristic pairing assessment.,Poor,0,train
Chardonnay,White,duck à l’orange,Poultry,Middle Eastern,Heuristic pairing assessment.,Poor,0,train
Sauternes,Dessert,duck à l’orange,Poultry,Japanese,Heuristic pairing assessment.,Neutral,0,train
Ice Wine,Dessert,mushroom risotto,Vegetarian,Moroccan,Deliberately bad pairing example for contrast.,Terrible,0,train
Sangiovese,Red,stir-fried tofu,Vegetarian,Japanese,Heuristic pairing assessment.,Neutral,0,train
Port,Fortified,mac and cheese,Cheese,Thai,Heuristic pairing assessment.,Neutral,0,train
Sangiovese,Red,chicken curry,Poultry,Greek,Heavy wine can dominate poultry.,Poor,0,train
Albariño,White,vegetable curry,Vegetarian,Greek,Heuristic pairing assessment.,Good,1,train
Viognier,White,roast chicken with herbs,Poultry,American BBQ,Lighter wines fit poultry.,Neutral,0,train
Ice Wine,Dessert,bacon burger,Pork,Thai,Heuristic pairing assessment.,Poor,0,train
Grenache,Red,olives and cheese,Salty Snack,Argentinian,Heuristic pairing assessment.,Good,1,train
Merlot,Red,carbonara,Creamy,French,Too lean for creamy dish.,Poor,0,train
Sauternes,Dessert,carbonara,Pork,Korean,Richer body matches creamy textures.,Good,1,train
Sauternes,Dessert,grilled burger,Smoky BBQ,Korean,Heuristic pairing assessment.,Neutral,0,train
Cabernet Sauvignon,Red,grilled ribeye,Red Meat,French,Heuristic pairing assessment.,Neutral,0,train
Cabernet Sauvignon,Red,beef stew,Red Meat,Moroccan,Heuristic pairing assessment.,Neutral,0,train
Chenin Blanc,White,fondue,Cheese,Middle Eastern,Heuristic pairing assessment.,Neutral,0,train
Riesling (dry),White,Indian vindaloo,Spicy,Chinese (Sichuan),Off-dry sweetness calms spice.,Good,1,train
Sangiovese,Red,stir-fried tofu,Vegetarian,Korean,Heuristic pairing assessment.,Neutral,0,train
Sauvignon Blanc,White,oysters,Seafood,Indian,Crisp acidity suits seafood.,Excellent,1,train
Syrah/Shiraz,Red,bbq brisket,Red Meat,Middle Eastern,Tannic red complements red meat fat.,Good,1,train
Merlot,Red,cream of mushroom soup,Creamy,Greek,Too lean for creamy dish.,Terrible,0,train
Cabernet Sauvignon,Red,bbq ribs,Smoky BBQ,American BBQ,Heuristic pairing assessment.,Neutral,0,train
Merlot,Red,charcuterie board,Salty Snack,American BBQ,Heuristic pairing assessment.,Neutral,0,train
Grenache,Red,alfredo pasta,Creamy,Korean,Too lean for creamy dish.,Terrible,0,train
Cabernet Sauvignon,Red,grilled burger,Smoky BBQ,Chinese (Sichuan),Heuristic pairing assessment.,Poor,0,train
Chardonnay,White,chicken curry,Poultry,Italian,Lighter wines fit poultry.,Good,1,train
Champagne,Sparkling,olives and cheese,Salty Snack,Greek,Heuristic pairing assessment.,Neutral,0,train
Provence Rosé,Rosé,grilled ribeye,Red Meat,Thai,Idealized perfect pairing example for contrast.,Excellent,1,train
Merlot,Red,bacon burger,Pork,German,Heuristic pairing assessment.,Poor,0,train
Ice Wine,Dessert,roast chicken with herbs,Poultry,German,Heavy wine can dominate poultry.,Neutral,0,train
Torrontés,White,Sichuan noodles,Spicy,Indian,Heuristic pairing assessment.,Neutral,0,train
Pinot Noir,Red,vegetable curry,Vegetarian,Vietnamese,Heuristic pairing assessment.,Good,1,train
Chardonnay,White,cheese platter,Cheese,German,Heuristic pairing assessment.,Neutral,0,train
Sauternes,Dessert,bbq ribs,Smoky BBQ,Ethiopian,Heuristic pairing assessment.,Good,1,train
Viognier,White,roast chicken with herbs,Poultry,Argentinian,Lighter wines fit poultry.,Excellent,1,train
Syrah/Shiraz,Red,roast lamb,Red Meat,Moroccan,Tannic red complements red meat fat.,Good,1,train
Chardonnay,White,bacon burger,Pork,Japanese,Heuristic pairing assessment.,Poor,0,train
Madeira,Fortified,lemon tart,Dessert,Mexican,Acidic wine balances acidic food.,Good,1,train
Sangiovese,Red,gazpacho,Acidic,Indian,Acidic wine balances acidic food.,Good,1,train
Cabernet Sauvignon,Red,grilled ribeye,Red Meat,Chinese (Sichuan),Heuristic pairing assessment.,Neutral,0,train
Riesling (dry),White,Thai curry,Spicy,Korean,Heuristic pairing assessment.,Neutral,0,train
Pinot Noir,Red,vegetable curry,Vegetarian,German,Heuristic pairing assessment.,Neutral,0,train
Riesling (dry),White,Indian vindaloo,Spicy,Chinese (Sichuan),Off-dry sweetness calms spice.,Excellent,1,train
Ice Wine,Dessert,grilled burger,Smoky BBQ,German,Heuristic pairing assessment.,Good,1,train
Nebbiolo,Red,grilled ribeye,Red Meat,Italian,Heuristic pairing assessment.,Neutral,0,train
Sauternes,Dessert,bacon burger,Pork,Argentinian,Heuristic pairing assessment.,Good,1,train
Syrah/Shiraz,Red,grilled ribeye,Red Meat,Greek,Heuristic pairing assessment.,Poor,0,train
Port,Fortified,cheese platter,Cheese,American BBQ,Heuristic pairing assessment.,Neutral,0,train
Grüner Veltliner,White,shrimp scampi,Seafood,Moroccan,Idealized perfect pairing example for contrast.,Excellent,1,train
Ice Wine,Dessert,stir-fried tofu,Vegetarian,Japanese,Heuristic pairing assessment.,Neutral,0,train
Albariño,White,fish tacos,Seafood,German,Crisp acidity suits seafood.,Excellent,1,train
Sauternes,Dessert,bacon burger,Pork,Moroccan,Heuristic pairing assessment.,Neutral,0,train
Albariño,White,alfredo pasta,Creamy,Thai,Too lean for creamy dish.,Poor,0,train
Albariño,White,shrimp scampi,Seafood,German,Crisp acidity suits seafood.,Excellent,1,train
Syrah/Shiraz,Red,bbq brisket,Red Meat,Vietnamese,Tannic red complements red meat fat.,Neutral,0,train
Gewürztraminer,White,Sichuan noodles,Spicy,Indian,Deliberately bad pairing example for contrast.,Terrible,0,train
Nebbiolo,Red,cream of mushroom soup,Creamy,Indian,Too lean for creamy dish.,Terrible,0,train
Sauternes,Dessert,roast chicken with herbs,Poultry,Italian,Heavy wine can dominate poultry.,Neutral,0,train
Sauvignon Blanc,White,grilled salmon,Seafood,French,Crisp acidity suits seafood.,Good,1,train
Albariño,White,grilled salmon,Seafood,Vietnamese,Crisp acidity suits seafood.,Excellent,1,train
Gamay (Beaujolais),Red,oysters,Seafood,Greek,Tannic reds clash with delicate seafood.,Poor,0,train
Albariño,White,grilled salmon,Seafood,French,Crisp acidity suits seafood.,Good,1,train
Riesling (dry),White,Indian vindaloo,Spicy,American BBQ,Deliberately bad pairing example for contrast.,Terrible,0,train
Merlot,Red,pork tenderloin,Pork,Indian,Deliberately bad pairing example for contrast.,Terrible,0,train
Port,Fortified,cheese platter,Cheese,German,Heuristic pairing assessment.,Poor,0,train
Champagne,Sparkling,fish tacos,Seafood,Indian,Crisp acidity suits seafood.,Good,1,train
Port,Fortified,cheesecake,Dessert,Mexican,Heuristic pairing assessment.,Poor,0,train
Tempranillo,Red,fondue,Cheese,French,Heuristic pairing assessment.,Poor,0,train
Riesling (dry),White,Indian vindaloo,Spicy,Argentinian,Off-dry sweetness calms spice.,Good,1,train
Pinot Noir,Red,gazpacho,Acidic,American BBQ,Acidic wine balances acidic food.,Neutral,0,train
Grüner Veltliner,White,stir-fried tofu,Vegetarian,German,Heuristic pairing assessment.,Poor,0,train
Grenache,Red,pork tenderloin,Pork,Moroccan,Light/medium red suits richer poultry/pork.,Good,1,train
Pinot Noir,Red,mushroom risotto,Vegetarian,Italian,Heuristic pairing assessment.,Neutral,0,train
Grenache,Red,carbonara,Creamy,American BBQ,Too lean for creamy dish.,Terrible,0,train
Nebbiolo,Red,Sichuan noodles,Spicy,Argentinian,Heuristic pairing assessment.,Neutral,0,train
Pinot Noir,Red,caprese salad,Acidic,Italian,Heuristic pairing assessment.,Good,1,train
Malbec,Red,smoked sausage,Smoky BBQ,Mexican,Heuristic pairing assessment.,Good,1,train
Grüner Veltliner,White,caprese salad,Acidic,Chinese (Sichuan),Heuristic pairing assessment.,Neutral,0,train
Madeira,Fortified,mac and cheese,Cheese,Korean,Heuristic pairing assessment.,Neutral,0,train
Chardonnay,White,chicken curry,Poultry,Middle Eastern,Lighter wines fit poultry.,Good,1,train
Ice Wine,Dessert,smoked sausage,Smoky BBQ,Argentinian,Heuristic pairing assessment.,Neutral,0,train
Pinot Noir,Red,citrus salad,Acidic,American BBQ,Acidic wine balances acidic food.,Good,1,train
Cabernet Sauvignon,Red,bbq brisket,Red Meat,American BBQ,Tannic red complements red meat fat.,Good,1,train
Albariño,White,vegetable curry,Vegetarian,Greek,Heuristic pairing assessment.,Neutral,0,train
Malbec,Red,bbq ribs,Smoky BBQ,Spanish,Heuristic pairing assessment.,Neutral,0,train
Madeira,Fortified,mac and cheese,Cheese,Japanese,Heuristic pairing assessment.,Good,1,train
Sauternes,Dessert,grilled burger,Smoky BBQ,Moroccan,Heuristic pairing assessment.,Neutral,0,train
Ice Wine,Dessert,lemon tart,Dessert,Japanese,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.,Excellent,1,train
Nebbiolo,Red,Sichuan noodles,Spicy,American BBQ,Heuristic pairing assessment.,Neutral,0,train
Chardonnay,White,carbonara,Creamy,Indian,Richer body matches creamy textures.,Good,1,train
Chardonnay,White,chicken curry,Poultry,Argentinian,Lighter wines fit poultry.,Good,1,train
Sangiovese,Red,duck à l’orange,Poultry,Italian,Light/medium red suits richer poultry/pork.,Good,1,train
Nebbiolo,Red,roast lamb,Red Meat,Moroccan,Tannic red complements red meat fat.,Good,1,train
Sauvignon Blanc,White,vegetable curry,Vegetarian,Middle Eastern,Deliberately bad pairing example for contrast.,Terrible,0,train
Nebbiolo,Red,oysters,Seafood,Korean,Tannic reds clash with delicate seafood.,Terrible,0,train
Grüner Veltliner,White,stir-fried tofu,Vegetarian,Japanese,Heuristic pairing assessment.,Poor,0,train
Grüner Veltliner,White,oysters,Seafood,Japanese,Crisp acidity suits seafood.,Neutral,0,train
Port,Fortified,cheese platter,Cheese,Greek,Heuristic pairing assessment.,Poor,0,train
Malbec,Red,grilled burger,Smoky BBQ,Indian,Heuristic pairing assessment.,Poor,0,train
Merlot,Red,bacon burger,Pork,Spanish,Heuristic pairing assessment.,Poor,0,train
Torrontés,White,Indian vindaloo,Spicy,Mexican,Heuristic pairing assessment.,Neutral,0,train
Cava,Sparkling,charcuterie board,Salty Snack,Ethiopian,Heuristic pairing assessment.,Neutral,0,train
Riesling (dry),White,Sichuan noodles,Spicy,Argentinian,Heuristic pairing assessment.,Poor,0,train
Merlot,Red,carbonara,Pork,Spanish,Too lean for creamy dish.,Poor,0,train
Syrah/Shiraz,Red,bbq ribs,Smoky BBQ,Spanish,Heuristic pairing assessment.,Neutral,0,train
Nebbiolo,Red,grilled ribeye,Red Meat,Thai,Heuristic pairing assessment.,Neutral,0,train
